STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/1/2000,7.83,0,,,38,47,28,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/2/2000,15.21,0.01,,,48,60,35,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/3/2000,13.2,0.17,,,34,38,30,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/4/2000,14.99,0,,,25,30,19,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/5/2000,12.53,0,,,17,25,9,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/6/2000,11.41,0,,,30,38,22,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/7/2000,9.62,0,,,24,29,19,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/8/2000,11.41,0.04,,,34,45,23,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/9/2000,6.93,0.11,,,38,40,36,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/10/2000,15.43,0.08,,,40,45,35,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/11/2000,17.22,0,,,32,35,28,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/12/2000,10.96,0,,,29,36,22,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/13/2000,10.96,0,,,23,33,12,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/14/2000,8.72,0,,,18,27,8,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/15/2000,10.29,0,,,33,42,24,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/16/2000,14.99,0,,,30,35,24,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/17/2000,11.41,0.01,,,23,26,20,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/18/2000,9.62,0,,,25,33,17,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/19/2000,4.92,0.28,,,20,27,12,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/20/2000,13.2,0,,,9,18,-1,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/21/2000,6.49,0,,,1,9,-7,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/22/2000,8.05,0.04,,,17,27,6,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/23/2000,14.76,0,,,14,27,1,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/24/2000,8.28,0,,,2,13,-10,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/25/2000,13.65,0,,,16,21,10,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/26/2000,11.18,0,,,14,21,6,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/27/2000,6.04,0,,,15,25,5,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/28/2000,1.79,0,,,14,27,0,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/29/2000,11.18,0.05,,,18,28,8,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/30/2000,5.59,0.04,,,24,28,20,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",1/31/2000,13.2,0,,,15,23,7,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/1/2000,10.29,0,,,18,28,8,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/2/2000,11.63,0,,,17,31,2,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/3/2000,14.76,0,,,31,35,26,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/4/2000,12.75,0,,,20,30,10,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/5/2000,12.3,0,,,18,27,9,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/6/2000,5.59,0,,,22,33,11,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/7/2000,5.82,0,,0,24,37,11,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/8/2000,9.4,0,,,,,,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/9/2000,9.4,0,,,37,46,28,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/10/2000,11.86,0,,,34,40,28,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/11/2000,10.74,0,,,19,29,9,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/12/2000,7.16,0,,,21,33,8,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/13/2000,12.3,0.04,,,30,31,29,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/14/2000,9.17,0,,,25,33,17,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/15/2000,13.2,0,,,30,40,20,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/16/2000,9.62,0,,,27,36,18,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/17/2000,8.28,0,,,25,35,15,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/18/2000,16.11,0.12,,,30,31,28,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/19/2000,11.63,0,,,27,30,23,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/20/2000,9.4,0,,,21,29,12,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/21/2000,10.96,0,,,28,44,11,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/22/2000,11.18,0,,,48,57,38,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/23/2000,13.2,0,,,54,64,44,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/24/2000,12.53,0.59,,,46,56,36,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/25/2000,13.65,0.01,,,53,71,34,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/26/2000,18.57,0.08,,,54,62,45,
